Num.,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
1,Anthony Franchi,2,1,1,2,0,3,5,0,4,0,4,0.0%,0,1,0.0%,0,5,0.0%,2,4,50.0%,5,0,16/17,2,High Point (Regionals),,4/6/2024
2,Drew Moore,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,High Point (Regionals),,4/6/2024
3,Trian Barnes,9,1,4,5,0,2,1,2,1,2,3,66.7%,1,5,20.0%,3,8,37.5%,2,2,100.0%,5.4,0,8/11,1,High Point (Regionals),,4/6/2024
4,JJ Sciba,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,High Point (Regionals),,4/6/2024
5,Jourdan Watkins,12,3,6,9,0,3,0,0,1,4,7,57.1%,0,0,,4,7,57.1%,4,8,50.0%,10.8,0,8/12,1,High Point (Regionals),,4/6/2024
7,Trevor Kelly,11,1,9,10,0,2,1,1,0,1,2,50.0%,3,6,50.0%,4,8,50.0%,0,1,0.0%,8.9,0,10/11,0,High Point (Regionals),,4/6/2024
8,Sos Igbnigie,4,0,4,4,1,2,0,1,1,0,1,0.0%,1,4,25.0%,1,5,20.0%,1,4,25.0%,0.8,0,12/12,1,High Point (Regionals),,4/6/2024
11,Tyler Druskis,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,High Point (Regionals),,4/6/2024
12,Tevin Jessup,2,0,0,0,0,1,0,1,0,1,1,100.0%,0,0,,1,1,100.0%,0,0,,0.3,0,3/3,0,High Point (Regionals),,4/6/2024
13,Zach Friday,5,0,1,1,0,0,0,2,0,2,4,50.0%,0,0,,2,4,50.0%,1,2,50.0%,0.9,0,7/7,2,High Point (Regionals),,4/6/2024
20,Caleb Tillis,8,3,0,3,0,1,0,0,1,2,4,50.0%,0,0,,2,4,50.0%,4,7,57.1%,7.5,0,6/7,0,High Point (Regionals),,4/6/2024
21,Meelad Doroodchi,0,0,6,6,0,2,4,1,0,0,0,,0,1,0.0%,0,1,0.0%,0,0,,2.1,0,5/11,0,High Point (Regionals),,4/6/2024
33,Cole Strand,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,High Point (Regionals),,4/6/2024
34,Max Reid,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,High Point (Regionals),,4/6/2024
35,CHARLOTTE,78,13,35,48,1,17,12,11,8,21,40,52.5%,5,19,26.3%,26,59,44.1%,21,38,55.3%,0,7,86/104 = 82.7%,9,High Point (Regionals),78,4/6/2024
36,Opponent,71,7,28,35,2,24,8,8,9,13,31,41.90%,11,32,34.40%,24,63,38.10%,12,17,70.60%,,,,,High Point (Regionals),71,4/6/2024
#,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
0,Tre Clemons,17,0,0,0,0,5,4,2,1,6,8,75.0%,0,0,,6,8,75.0%,5,5,100.0%,13.6,0,10/14,1,Miami (Regionals),,4/6/2024
1,Anthony Franchi,2,2,0,2,0,2,0,1,1,1,7,14.3%,0,1,0.0%,1,8,12.5%,0,1,0.0%,-3,0,7/7,0,Miami (Regionals),,4/6/2024
2,Drew Moore,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,Miami (Regionals),,4/6/2024
3,Trian Barnes,16,2,3,5,0,4,1,6,2,5,10,50.0%,1,5,20.0%,6,15,40.0%,3,6,50.0%,4.1,0,9/10,1,Miami (Regionals),,4/6/2024
4,JJ Sciba,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,Miami (Regionals),,4/6/2024
5,Jourdan Watkins,18,2,6,8,2,3,1,0,5,7,15,46.7%,0,1,0.0%,7,16,43.8%,4,9,44.4%,16.7,0,7/9,2,Miami (Regionals),,4/6/2024
7,Trevor Kelly,0,0,0,0,0,1,0,1,1,0,0,,0,4,0.0%,0,4,0.0%,0,0,,-3.2,0,5/6,0,Miami (Regionals),,4/6/2024
8,Sos Igbnigie,4,0,3,3,0,1,3,1,0,2,3,66.7%,0,2,0.0%,2,5,40.0%,0,0,,2.9,0,11/11,0,Miami (Regionals),,4/6/2024
11,Tyler Druskis,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,Miami (Regionals),,4/6/2024
12,Tevin Jessup,0,0,1,1,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0.3,0,,0,Miami (Regionals),,4/6/2024
13,Zach Friday,5,0,2,2,0,0,0,2,0,1,2,50.0%,1,2,50.0%,2,4,50.0%,0,0,,1.6,0,5/5,1,Miami (Regionals),,4/6/2024
20,Caleb Tillis,2,2,3,5,1,1,0,1,0,1,2,50.0%,0,0,,1,2,50.0%,0,2,0.0%,1.8,0,3/7,0,Miami (Regionals),,4/6/2024
21,Meelad Doroodchi,1,0,3,3,0,2,0,1,1,,2,0.0%,0,0,,0,2,0.0%,1,2,50.0%,-0.7,0,3/8,0,Miami (Regionals),,4/6/2024
33,Cole Strand,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,Miami (Regionals),,4/6/2024
34,Max Reid,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,,,,0,0,,0,Miami (Regionals),,4/6/2024
35,CHARLOTTE,65,16,23,39,3,20,9,15,11,23,49,,2,15,,25,64,,13,25,,0,6,60/77 = 78%,5,Miami (Regionals),65,4/6/2024
36,Opponent,78,7,27,34,8,14,11,15,10,22,35,62.90%,5,20,25.00%,27,55,49.10%,19,34,55.90%,,,,,Miami (Regionals),78,4/6/2024
