Num.,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
2,Drew Moore,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,South Carolina (1),,1/28/2024
3,Trian Barnes,7,1,5,6,1,1,0,4,2,1,6,16.7%,1,3,33.3%,2,9,22.2%,2,2,100.0%,2,0,6/7,1,South Carolina (1),,1/28/2024
4,JJ Sciba,9,1,2,3,0,0,2,2,0,1,3,33.3%,2,6,33.3%,3,9,33.3%,1,2,50.0%,4.2,0,13/13,1,South Carolina (1),,1/28/2024
5,Jourdan Watkins,9,4,7,11,1,3,1,1,2,4,9,44.4%,0,1,0.0%,4,10,40.0%,1,2,50.0%,9.3,0,10/17,2,South Carolina (1),,1/28/2024
7,Trevor Kelly,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,South Carolina (1),,1/28/2024
8,Sos Igbnigie,11,0,3,3,0,3,1,1,2,4,5,80.0%,1,2,50.0%,5,7,71.4%,0,2,0.0%,8.7,0,18/20,0,South Carolina (1),,1/28/2024
11,Tyler Druskis,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,South Carolina (1),,1/28/2024
12,Tevin Jessup,0,0,1,1,0,1,0,1,0,0,0,,0,0,,0,0,,0,0,,-1.1,0,1/1,0,South Carolina (1),,1/28/2024
13,Zach Friday,5,1,1,2,0,0,0,1,1,2,3,66.7%,0,0,,2,3,66.7%,1,2,50.0%,4.3,0,10/12,0,South Carolina (1),,1/28/2024
20,Caleb Tillis,1,0,3,3,2,2,1,1,1,0,1,0.0%,0,0,,0,1,0.0%,1,2,50.0%,2.1,0,5/6,0,South Carolina (1),,1/28/2024
21,Meelad Doroodchi,2,0,1,1,0,1,0,1,1,1,2,50.0%,0,0,,1,2,50.0%,0,0,,0.9,0,2/5,0,South Carolina (1),,1/28/2024
33,Cole Strand,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,South Carolina (1),,1/28/2024
34,Max Reid,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,South Carolina (1),,1/28/2024
35,CHARLOTTE,62,11,29,40,4,18,7,14,10,17,38,44.7%,5,13,38.5%,21,50,42.0%,13,26,50.0%,0,11,81/99 = 82%,6,South Carolina (1),62,1/28/2024
36,Opponent,56,16,19,35,2,15,4,16,3,15,33,45.50%,4,25,16.00%,19,58,32.80%,14,20,70.00%,,,,,South Carolina (1),56,1/28/2024
Num.,Name,PTS,OREB,DREB,TOTAL REB,BLK,FOUL,AST,TOV,STL,2FG MADE,2FG ATT,2FG %,3FG MADE,3FG ATT,3FG %,TFG MADE,TFG ATT,TFG %,FT MADE,FT ATT,FT %,G-SCORE,O-REB ALLOW,TAP-OUT,HUSTLE PLAYS,VERSUS,FINAL,DATE
0,Tre Clemons,19,2,3,5,0,1,1,1,0,7,8,87.5%,1,3,33.3%,8,11,72.7%,2,3,66.7%,15.7,0,3/4,1,South Carolina (2),,1/28/2024
1,Anthony Franchi,6,2,4,6,0,2,2,1,1,2,6,33.3%,0,1,0.0%,2,7,28.6%,2,3,66.7%,4.7,0,13/14,0,South Carolina (2),,1/28/2024
2,Drew Moore,0,0,,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,South Carolina (2),,1/28/2024
3,Trian Barnes,7,2,2,4,0,1,1,4,0,2,4,50.0%,1,4,25.0%,3,8,37.5%,0,0,,0.9,0,9/9,1,South Carolina (2),,1/28/2024
4,JJ Sciba,5,1,1,2,0,0,1,2,0,1,4,25.0%,1,6,16.7%,2,10,20.0%,0,0,,-1.5,0,14/15,0,South Carolina (2),,1/28/2024
5,Jourdan Watkins,10,3,5,8,1,3,0,2,2,4,8,50.0%,0,1,0.0%,4,9,44.4%,2,3,66.7%,8,0,9/14,0,South Carolina (2),,1/28/2024
7,Trevor Kelly,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,,0,South Carolina (2),,1/28/2024
8,Sos Igbnigie,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,,0,0,,0,0,1/2,0,South Carolina (2),,1/28/2024
11,Tyler Druskis,3,0,2,2,0,0,1,1,1,0,0,,1,2,50.0%,1,2,50.0%,0,0,,3.3,0,,1,South Carolina (2),,1/28/2024
